order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,source_name,attribution_handle,app_id,app_name,financial_status,fulfillment_status,cancelled_at,cancel_reason,test,edited,fully_paid,payment_gateway_names,presentment_currency,shipping_country_code,line_item_count,current_total_amount,total_refunded_amount,found_in_ga4_purchase_events,found_in_ga4_purchase_items,classification
6611142344843,STE138371,2026-07-03T00:16:59Z,2026-07-03T10:16:59+10:00,2026-07-03,2026-07-03T00:16:54Z,2026-07-03T10:16:54+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,79.0,0.0,True,True,complete_ga4_purchase
6611258507403,STE138372,2026-07-03T02:12:18Z,2026-07-03T12:12:18+10:00,2026-07-03,2026-07-03T02:12:17Z,2026-07-03T12:12:17+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,2,251.2,0.0,True,True,complete_ga4_purchase
6611266142347,STE138373,2026-07-03T02:20:03Z,2026-07-03T12:20:03+10:00,2026-07-03,2026-07-03T02:19:58Z,2026-07-03T12:19:58+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,181.0,0.0,True,True,complete_ga4_purchase
6611266928779,STE138374,2026-07-03T02:20:47Z,2026-07-03T12:20:47+10:00,2026-07-03,2026-07-03T02:20:46Z,2026-07-03T12:20:46+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6611269091467,STE138375,2026-07-03T02:22:59Z,2026-07-03T12:22:59+10:00,2026-07-03,2026-07-03T02:22:59Z,2026-07-03T12:22:59+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6611270467723,STE138376,2026-07-03T02:24:46Z,2026-07-03T12:24:46+10:00,2026-07-03,2026-07-03T02:24:45Z,2026-07-03T12:24:45+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6611272073355,STE138377,2026-07-03T02:26:16Z,2026-07-03T12:26:16+10:00,2026-07-03,2026-07-03T02:26:16Z,2026-07-03T12:26:16+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6611428442251,STE138378,2026-07-03T04:41:50Z,2026-07-03T14:41:50+10:00,2026-07-03,2026-07-03T04:41:48Z,2026-07-03T14:41:48+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,2,268.0,0.0,True,True,complete_ga4_purchase
6611438862475,STE138379,2026-07-03T04:50:18Z,2026-07-03T14:50:18+10:00,2026-07-03,2026-07-03T04:50:17Z,2026-07-03T14:50:17+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,3,289.0,0.0,True,True,complete_ga4_purchase
6611564757131,STE138380,2026-07-03T05:38:30Z,2026-07-03T15:38:30+10:00,2026-07-03,2026-07-03T05:38:26Z,2026-07-03T15:38:26+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,3,267.0,0.0,True,True,complete_ga4_purchase
